正式法令名,法令番号,略称法令名１,略称法令名２,略称法令名３,略称法令名４
児童福祉法施行規則,昭和二十三年厚生省令第十一号,児福法施行規則,,,
墓地、埋葬等に関する法律施行規則,昭和二十三年厚生省令第二十四号,墓地埋葬法施行規則,,,
化製場等に関する法律施行規則,昭和二十三年厚生省令第三十号,化製場法施行規則,,,
消費生活協同組合法施行規則,昭和二十三年大蔵省・法務庁・厚生省・農林省令第一号,生協法施行規則,,,
教育公務員特例法,昭和二十四年法律第一号,教特法,,,
教育職員免許法,昭和二十四年法律第百四十七号,教育免許法,,,
教育職員免許法施行法　抄,昭和二十四年法律第百四十八号,教育免許法施行法　抄,,,
労働組合法,昭和二十四年法律第百七十四号,労組法,労働三法,,
中小企業等協同組合法,昭和二十四年法律第百八十一号,中協法,,,
中小企業等協同組合法施行法　抄,昭和二十四年法律第百八十二号,中協法施行法　抄,,,
協同組合による金融事業に関する法律,昭和二十四年法律第百八十三号,協金法,,,
産業標準化法,昭和二十四年法律第百八十五号,ジス法,ＪＩＳ法,,
屋外広告物法,昭和二十四年法律第百八十九号,広告法,,,
お年玉付郵便葉書等に関する法律,昭和二十四年法律第二百二十四号,お年玉法,,,
外国為替及び外国貿易法,昭和二十四年法律第二百二十八号,外国為替法,外為法,,
特別職の職員の給与に関する法律,昭和二十四年法律第二百五十二号,特別職給与法,特別職職員給与法,,
国立国会図書館法の規定により行政各部門に置かれる支部図書館及びその職員に関する法律,昭和二十四年法律第百一号,国立国会図書館支部図書館法,,,
政府契約の支払遅延防止等に関する法律,昭和二十四年法律第二百五十六号,支払遅延防止法,,,
身体障害者福祉法,昭和二十四年法律第二百八十三号,身障者福祉法,身福法,,
教育公務員特例法施行令,昭和二十四年政令第六号,教特法施行令,,,
水産業協同組合法の施行等に関する政令　抄,昭和二十四年政令第四十七号,水協法の施行等に関する政令　抄,,,
労働組合法施行令,昭和二十四年政令第二百三十一号,労組法施行令,,,
教育職員免許法施行令,昭和二十四年政令第三百三十八号,教育免許法施行令,,,
輸出貿易管理令,昭和二十四年政令第三百七十八号,輸出令,,,
外国為替及び外国貿易法第五十六条の規定による意見の聴取の手続に関する政令,昭和二十四年政令第三百七十九号,外為法意見聴取手続政令,,,
産業標準化法に基づく登録申請手数料の額等を定める政令,昭和二十四年政令第四百八号,ジス法表示認定申請手数料政令,ＪＩＳ法表示認定申請手数料政令,,
輸入貿易管理令,昭和二十四年政令第四百十四号,輸入令,,,
輸出貿易管理規則,昭和二十四年通商産業省令第六十四号,輸出規則,,,
輸入貿易管理規則,昭和二十四年通商産業省令第七十七号,輸入規則,,,
産業標準化法施行規則,昭和二十四年総理府・文部省・厚生省・農林省・通商産業省・運輸省・郵政省・電気通信省・労働省・建設省令第一号,ＪＩＳ法施行規則,ジス法施行規則,,
国家公務員等の旅費に関する法律,昭和二十五年法律第百十四号,旅費法,,,
火薬類取締法,昭和二十五年法律第百四十九号,火取法,,,
植物防疫法,昭和二十五年法律第百五十一号,植防法,,,
農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律,昭和二十五年法律第百六十九号,暫定法,,,
予算執行職員等の責任に関する法律,昭和二十五年法律第百七十二号,予責法,,,
日本農林規格等に関する法律,昭和二十五年法律第百七十五号,ＪＡＳ法,ジャス法,,
国会議員の選挙等の執行経費の基準に関する法律,昭和二十五年法律第百七十九号,選挙執行経費基準法,執行経費基準法,国政選挙執行経費基準法,
建築基準法,昭和二十五年法律第二百一号,建基法,,,
地方交付税法,昭和二十五年法律第二百十一号,交付税法,,,
地方公務員法,昭和二十五年法律第二百六十一号,地公法,,,
鉱業等に係る土地利用の調整手続等に関する法律,昭和二十五年法律第二百九十二号,土地利用調整法,,,
毒物及び劇物取締法,昭和二十五年法律第三百三号,毒劇物取締法,毒劇法,,
精神保健及び精神障害者福祉に関する法律,昭和二十五年法律第百二十三号,精神保健福祉法,,,
一般職の職員の給与に関する法律,昭和二十五年法律第九十五号,一般職給与法,一般職職員給与法,,
公職選挙法,昭和二十五年法律第百号,公選法,,,
小型自動車競走法,昭和二十五年法律第二百八号,オートレース法,,,
身体障害者福祉法施行令,昭和二十五年政令第七十八号,身福法施行令,身障者福祉法施行令,,
公職選挙法施行令,昭和二十五年政令第八十九号,公選法施行令,,,
農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律施行令,昭和二十五年政令第百五十二号,暫定法施行令,,,
精神保健及び精神障害者福祉に関する法律施行令,昭和二十五年政令第百五十五号,精神保健福祉法施行令,,,
火薬類取締法施行令,昭和二十五年政令第三百二十三号,火取法施行令,,,
建築基準法施行令,昭和二十五年政令第三百三十八号,建基法施行令,,,
公職選挙法施行規則,昭和二十五年総理府令第十三号,公選法施行規則,,,
身体障害者福祉法施行規則,昭和二十五年厚生省令第十五号,身障者福祉法施行規則,身福法施行規則,,
精神保健及び精神障害者福祉に関する法律施行規則,昭和二十五年厚生省令第三十一号,精神保健法施行規則,,,
火薬類取締法施行規則,昭和二十五年通商産業省令第八十八号,火取法施行規則,,,
外国為替及び外国貿易法における附属の島に関する命令,昭和二十五年総理府・大蔵省・通商産業省令第一号,外為法附属の島命令,,,
建築基準法施行規則,昭和二十五年建設省令第四十号,建基法施行規則,,,
農林水産省関係日本農林規格等に関する法律施行規則,昭和二十五年農林省令第六十二号,ジャス法施行規則,ＪＡＳ法施行規則,,
植物防疫法施行規則,昭和二十五年農林省令第七十三号,植防法施行規則,,,
農林水産業施設災害復旧事業費国庫補助の暫定措置に関する法律施行規則,昭和二十五年農林省令第九十四号,暫定法施行規則,,,
農業協同組合法、水産業協同組合法及び森林組合法による倉荷証券発行の許可等に関する省令,昭和二十五年農林省・運輸省令第六号,農協法、水協法及び森林組合法による倉荷証券発行の許可等に関する省令,,,
国家公務員共済組合法の規定による年金の額の改定に関する法律,昭和二十六年法律第三十三号,国公共済法の規定による年金の額の改定に関する法律,,,
社会福祉法,昭和二十六年法律第四十五号,社福法,,,
農業委員会等に関する法律,昭和二十六年法律第八十八号,農業委員会法,,,
公共土木施設災害復旧事業費国庫負担法,昭和二十六年法律第九十七号,負担法,,,
高圧ガス保安法,昭和二十六年法律第二百四号,保安四法,,,
投資信託及び投資法人に関する法律,昭和二十六年法律第百九十八号,投信法,,,
国有林野の管理経営に関する法律,昭和二十六年法律第二百四十六号,国有林野管理経営法,,,
覚醒剤取締法,昭和二十六年法律第二百五十二号,覚醒剤取締法,,,
北海道開発のためにする港湾工事に関する法律,昭和二十六年法律第七十三号,北海道港湾工事法,,,
家畜伝染病予防法,昭和二十六年法律第百六十六号,家伝法,,,
官公庁施設の建設等に関する法律,昭和二十六年法律第百八十一号,官公法,,,
日刊新聞紙の発行を目的とする株式会社の株式の譲渡の制限等に関する法律,昭和二十六年法律第二百十二号,日刊新聞法,,,
民事調停法,昭和二十六年法律第二百二十二号,民調法,,,
農業委員会等に関する法律施行令,昭和二十六年政令第七十八号,農業委員会法施行令,,,
公共土木施設災害復旧事業費国庫負担法施行令,昭和二十六年政令第百七号,負担法施行令,,,
鉱業等に係る土地利用の調整手続等に関する法律第四十七条の規定により鑑定人が受ける鑑定料の額を定める政令,昭和二十六年政令第百九十六号,土地利用調整法第四十七条の規定により鑑定人が受ける鑑定料の額を定める政令,,,
日本農林規格等に関する法律施行令,昭和二十六年政令第二百九十一号,ジャス法施行令,ＪＡＳ法施行令,,
出入国管理及び難民認定法,昭和二十六年政令第三百十九号,入管法,,,
損害保険料率算出団体に関する法律施行令,昭和二十六年政令第三百八十九号,料団法施行令,,,
毒物及び劇物取締法施行規則,昭和二十六年厚生省令第四号,毒劇物取締法施行規則,毒劇法施行規則,,
社会福祉法施行規則,昭和二十六年厚生省令第二十八号,社福法施行規則,,,
覚醒剤取締法施行規則,昭和二十六年厚生省令第三十号,覚醒剤取締法施行規則,,,
保健師助産師看護師法施行規則,昭和二十六年厚生省令第三十四号,保助看法施行規則,,,
乳及び乳製品の成分規格等に関する省令,昭和二十六年厚生省令第五十二号,乳等省令,,,
農業委員会等に関する法律施行規則,昭和二十六年農林省令第二十三号,農業委員会法施行規則,,,
家畜伝染病予防法施行規則,昭和二十六年農林省令第三十五号,家伝法施行規則,,,
国有林野の管理経営に関する法律施行規則,昭和二十六年農林省令第四十号,国有林野管理経営法施行規則,,,
鉱業等に係る土地利用の調整手続等に関する法律の施行等に関する規則,昭和二十六年土地調整委員会規則第二号,土地利用調整法の施行等に関する規則,,,
在外公館の名称及び位置並びに在外公館に勤務する外務公務員の給与に関する法律,昭和二十七年法律第九十三号,在外公館名称位置給与法,名称位置法,,
日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う民事特別法,昭和二十七年法律第百二十一号,民特法,民事特別法,,
戦傷病者戦没者遺族等援護法,昭和二十七年法律第百二十七号,遺族援護法,,,
日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う刑事特別法,昭和二十七年法律第百三十八号,刑特法,刑事特別法,,
日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法,昭和二十七年法律第百四十号,駐留軍用地特別措置法,米軍用地特措法,,
公共工事の前払金保証事業に関する法律,昭和二十七年法律第百八十四号,保証事業法,,,
長期信用銀行法,昭和二十七年法律第百八十七号,長銀法,,,
国際通貨基金及び国際復興開発銀行への加盟に伴う措置に関する法律,昭和二十七年法律第百九十一号,ＩＭＦ等加盟措置法,,,
破壊活動防止法,昭和二十七年法律第二百四十号,破防法,,,
防衛省の職員の給与等に関する法律,昭和二十七年法律第二百六十六号,防衛省職員給与法,防衛省給与法,,
地方公営企業等の労働関係に関する法律,昭和二十七年法律第二百八十九号,地公労法,,,
輸出入取引法,昭和二十七年法律第二百九十九号,輸取法,,,
特殊土壌地帯災害防除及び振興臨時措置法,昭和二十七年法律第九十六号,特土法,,,
宅地建物取引業法,昭和二十七年法律第百七十六号,宅建業法,,,
法廷等の秩序維持に関する法律,昭和二十七年法律第二百八十六号,法廷秩序維持法,,,
戦傷病者戦没者遺族等援護法施行令,昭和二十七年政令第百四十三号,遺族援護法施行令,,,
日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法施行令,昭和二十七年政令第百四十九号,駐留軍用地特別措置法施行令,米軍用地特措法施行令,,
公共工事の前払金保証事業に関する法律施行令,昭和二十七年政令第二百八十六号,保証事業法施行令,,,
物価統制令施行令,昭和二十七年政令第三百十九号,物統令施行令,,,
防衛省の職員の給与等に関する法律施行令,昭和二十七年政令第三百六十八号,防衛省職員給与法施行令,防衛省給与法施行令,,
破壊活動防止法施行規則,昭和二十七年法務府令第八十一号,破防法施行規則,,,
日本国とアメリカ合衆国との間の相互協力及び安全保障条約第六条に基づく施設及び区域並びに日本国における合衆国軍隊の地位に関する協定の実施に伴う土地等の使用等に関する特別措置法施行規則,昭和二十七年総理府令第三十号,米軍用地特措法施行規則,駐留軍用地特別措置法施行規則,,
戦傷病者戦没者遺族等援護法施行規則,昭和二十七年厚生省令第十六号,遺族援護法施行規則,,,
中小企業等協同組合法等による倉荷証券発行許可等に関する省令,昭和二十七年運輸省令第一号,中協法等による倉荷証券発行許可等に関する省令,,,
労働基準法第十八条第四項の規定に基づき使用者が労働者の預金を受け入れる場合の利率を定める省令,昭和二十七年労働省令第二十四号,労基法労働者預金受入利率を定める省令,,,
公共工事の前払金保証事業に関する法律施行規則,昭和二十七年建設省令第二十三号,保証事業法施行規則,,,
酒税の保全及び酒類業組合等に関する法律,昭和二十八年法律第七号,酒団法,酒類業組合法,,
麻薬及び向精神薬取締法,昭和二十八年法律第十四号,麻向法,,,
未帰還者留守家族等援護法,昭和二十八年法律第百六十一号,留守家族援護法,,,
電気事業及び石炭鉱業における争議行為の方法の規制に関する法律,昭和二十八年法律第百七十一号,スト規制法,,,
国の援助等を必要とする帰国者に関する領事官の職務等に関する法律,昭和二十八年法律第二百三十六号,国援法,,,
私立学校教職員共済法,昭和二十八年法律第二百四十五号,私学共済法,,,
日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律,昭和二十八年法律第二百四十六号,特別損失補償法,特損法,,
公立学校施設災害復旧費国庫負担法,昭和二十八年法律第二百四十七号,学災法,,,
日本国における国際連合の軍隊に対する刑事裁判権の行使に関する議定書の実施に伴う刑事特別法,昭和二十八年法律第二百六十五号,刑特法,刑事特別法,,
飼料の安全性の確保及び品質の改善に関する法律,昭和二十八年法律第三十五号,飼料安全法,,,
酒税の保全及び酒類業組合等に関する法律施行令,昭和二十八年政令第二十八号,酒団法施行令,酒類業組合法施行令,,
麻薬及び向精神薬取締法施行令,昭和二十八年政令第五十七号,麻向法施行令,,,
国の援助等を必要とする帰国者に関する領事官の職務等に関する法律施行令,昭和二十八年政令第二百一号,国援法施行令,,,
未帰還者留守家族等援護法施行令,昭和二十八年政令第二百十一号,留守家族援護法施行令,,,
家畜伝染病予防法施行令,昭和二十八年政令第二百三十五号,家伝法施行令,,,
職業安定法施行令,昭和二十八年政令第二百四十二号,職安法施行令,,,
小型自動車競走法施行令,昭和二十八年政令第二百五十五号,オートレース法施行令,,,
私的独占の禁止及び公正取引の確保に関する法律第四十七条第二項の審査官の指定に関する政令,昭和二十八年政令第二百六十四号,独禁法審査官指定政令,独占禁止法審査官指定政令,,
学校教育法施行令,昭和二十八年政令第三百四十号,学教法施行令,,,
日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律施行令,昭和二十八年政令第三百五十五号,特損法施行令,特別損失補償法施行令,,
公立学校施設災害復旧費国庫負担法施行令,昭和二十八年政令第三百七十三号,学災法施行令,,,
保健師助産師看護師法施行令,昭和二十八年政令第三百八十六号,保助看法施行令,,,
私立学校教職員共済法施行令,昭和二十八年政令第四百二十五号,私学共済法施行令,,,
日本国に駐留するアメリカ合衆国軍隊等の行為による特別損失の補償に関する法律施行規則,昭和二十八年総理府令第四十九号,特別損失補償法施行規則,特損法施行規則,,
酒税の保全及び酒類業組合等に関する法律施行規則,昭和二十八年大蔵省令第十一号,酒類業組合法施行規則,酒団法施行規則,,
金融商品取引法第百六十一条の二に規定する取引及びその保証金に関する内閣府令,昭和二十八年大蔵省令第七十五号,証取法に規定する取引及びその保証金に関する内閣府令,,,
私立学校教職員共済法施行規則,昭和二十八年文部省令第二十八号,私学共済法施行規則,,,
麻薬及び向精神薬取締法施行規則,昭和二十八年厚生省令第十四号,麻向法施行規則,,,
未帰還者留守家族等援護法施行規則,昭和二十八年厚生省令第四十二号,留守家族援護法施行規則,,,
私的独占の禁止及び公正取引の確保に関する法律第九条から第十六条までの規定による認可の申請、報告及び届出等に関する規則,昭和二十八年公正取引委員会規則第一号,独禁法認可の申請、報告及び届出等規則,独占禁止法認可の申請、報告及び届出等規則,,
刑事訴訟法第百九十四条に基く懲戒処分に関する法律,昭和二十九年法律第六十四号,刑訴法第百九十四条に基く懲戒処分に関する法律,,,
利息制限法,昭和二十九年法律第百号,利限法,,,
厚生年金保険法,昭和二十九年法律第百十五号,厚生年金法,,,
特別支援学校への就学奨励に関する法律,昭和二十九年法律第百四十四号,就学奨励法,,,
日本国における国際連合の軍隊の地位に関する協定の実施に伴う刑事特別法,昭和二十九年法律第百五十一号,刑特法,刑事特別法,,
義務教育諸学校における教育の政治的中立の確保に関する臨時措置法,昭和二十九年法律第百五十七号,義務教育中立法,中確法,,
日米相互防衛援助協定等に伴う秘密保護法,昭和二十九年法律第百六十六号,ＭＤＡ秘密保護法,日米秘密保護法,防衛秘密保護法,ＭＳＡ秘密保護法
酪農及び肉用牛生産の振興に関する法律,昭和二十九年法律第百八十二号,酪肉振興法,,,
出資の受入れ、預り金及び金利等の取締りに関する法律,昭和二十九年法律第百九十五号,出資法,,,
日本中央競馬会法,昭和二十九年法律第二百五号,ＪＲＡ法,,,
奄美群島振興開発特別措置法,昭和二十九年法律第百八十九号,奄振法,奄美法,,
厚生年金保険法施行令,昭和二十九年政令第百十号,厚生年金法施行令,,,
国有林野の管理経営に関する法律施行令,昭和二十九年政令第百二十一号,国有林野管理経営法施行令,,,
義務教育諸学校における教育の政治的中立の確保に関する臨時措置法第五条の請求の手続を定める政令,昭和二十九年政令第百三十七号,中確法第五条の請求の手続を定める政令,義務教育中立法第五条の請求の手続を定める政令,,
日米相互防衛援助協定等に伴う秘密保護法施行令,昭和二十九年政令第百四十九号,ＭＤＡ秘密保護法施行令,日米秘密保護法施行令,防衛秘密保護法施行令,ＭＳＡ秘密保護法施行令
特別支援学校への就学奨励に関する法律施行令,昭和二十九年政令第百五十七号,就学奨励法施行令,,,
酪農及び肉用牛生産の振興に関する法律施行令,昭和二十九年政令第二百三十三号,酪肉振興法施行令,,,
奄美群島振興開発特別措置法施行令,昭和二十九年政令第二百三十九号,奄振法施行令,奄美法施行令,,
日本中央競馬会法施行令,昭和二十九年政令第二百五十八号,ＪＲＡ法施行令,,,
特別支援学校への就学奨励に関する法律施行規則,昭和二十九年文部省令第二十号,就学奨励法施行規則,,,
教育職員免許法施行規則,昭和二十九年文部省令第二十六号,教育免許法施行規則,,,
教育職員免許法施行法施行規則,昭和二十九年文部省令第二十七号,教育免許法施行法施行規則,,,
厚生年金保険法施行規則,昭和二十九年厚生省令第三十七号,厚生年金法施行規則,,,
年少者労働基準規則,昭和二十九年労働省令第十三号,年少則,,,
酪農及び肉用牛生産の振興に関する法律施行規則,昭和二十九年農林省令第五十一号,酪肉振興法施行規則,,,
日本中央競馬会法施行規則,昭和二十九年農林省令第五十六号,ＪＲＡ法施行規則,,,
刑事訴訟法第百八十九条第一項および第百九十九条第二項の規定に基づく司法警察員等の指定に関する規則,昭和二十九年国家公安委員会規則第五号,刑訴法第百八十九条第一項および第百九十九条第二項の規定に基づく司法警察員等の指定に関する規則,,,
輸入品に対する内国消費税の徴収等に関する法律,昭和三十年法律第三十七号,輸徴法,,,
自動車損害賠償保障法,昭和三十年法律第九十七号,自賠法,,,
補助金等に係る予算の執行の適正化に関する法律,昭和三十年法律第百七十九号,補助金適正化法,補助金等適正化法,,
女子教職員の出産に際しての補助教職員の確保に関する法律,昭和三十年法律第百二十五号,産休法,,,
教育公務員特例法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律,昭和三十年法律第八十五号,教特法附則第二条の規定の適用を受ける公立学校職員等について学校看護婦としての在職を準教育職員としての在職とみなすことに関する法律,,,
天災による被害農林漁業者等に対する資金の融通に関する暫定措置法,昭和三十年法律第百三十六号,天災融資法,,,
輸入品に対する内国消費税の徴収等に関する法律施行令,昭和三十年政令第百号,輸徴法施行令,,,
予算執行職員等の責任に関する法律第十条第一項又は第十一条第一項に規定する公庫の現金出納職員又は物品管理職員がその保管に係る現金又は物品を亡失した場合等における報告に関する政令,昭和三十年政令第百三十七号,予責法第十条第一項又は第十一条第一項に規定する公庫の現金出納職員又は物品管理職員がその保管に係る現金又は物品を亡失した場合等における報告に関する政令,,,
輸出入取引法施行令,昭和三十年政令第二百四十四号,輸取法施行令,,,
補助金等に係る予算の執行の適正化に関する法律施行令,昭和三十年政令第二百五十五号,補助金等適正化法施行令,補助金適正化法施行令,,
毒物及び劇物取締法施行令,昭和三十年政令第二百六十一号,毒劇法施行令,毒劇物取締法施行令,,
自動車損害賠償保障法施行令,昭和三十年政令第二百八十六号,自賠法施行令,,,
自動車事故対策事業賦課金等の金額を定める政令,昭和三十年政令第三百十六号,自賠事業賦課金等政令,,,
公立学校施設災害復旧費国庫負担法施行規則,昭和三十年文部省令第二号,学災法施行規則,,,
輸出入取引法に基く輸出の承認に関する省令,昭和三十年通商産業省令第五十四号,輸取法に基く輸出の承認に関する省令,,,
自動車損害賠償保障法施行規則,昭和三十年運輸省令第六十六号,自賠法施行規則,,,
労働者災害補償保険法施行規則,昭和三十年労働省令第二十二号,労災保険法施行規則,,,
就学困難な児童及び生徒に係る就学奨励についての国の援助に関する法律,昭和三十一年法律第四十号,就学奨励援助法,,,
国の債権の管理等に関する法律,昭和三十一年法律第百十四号,債権管理法,,,
売春防止法,昭和三十一年法律第百十八号,売防法,,,
下請代金支払遅延等防止法,昭和三十一年法律第百二十号,下請法,,,
労働保険審査官及び労働保険審査会法,昭和三十一年法律第百二十六号,労審法,,,
国家公務員共済組合法第九十条の規定による公務傷病年金等の額の改定に関する法律,昭和三十一年法律第百三十二号,国公共済法第九十条の規定による公務傷病年金等の額の改定に関する法律,,,
